nama_schema,nama_tabel,nama_kolom,nama_relasi,schema_tujuan,tabel_tujuan,kolom_tujuan
simgos,goods_receipt_cancellations,goods_receipt_id,goods_receipt_cancellations_goods_receipt_id_foreign,simgos,goods_receipts,id
simgos,goods_receipts,item_id,goods_receipts_item_id_foreign,simgos,items,id
simgos,goods_receipts,supplier_id,goods_receipts_supplier_id_foreign,simgos,suppliers,id
simgos,goods_return_items,goods_return_id,goods_return_items_goods_return_id_foreign,simgos,goods_returns,id
simgos,goods_return_items,item_id,goods_return_items_item_id_foreign,simgos,items,id
simgos,goods_returns,supplier_id,goods_returns_supplier_id_foreign,simgos,suppliers,id
simgos,guarantor_item_category_mappings,guarantor_id,guarantor_item_category_mappings_guarantor_id_foreign,simgos,guarantors,id
simgos,guarantor_item_category_mappings,item_category_id,guarantor_item_category_mappings_item_category_id_foreign,simgos,item_categories,id
simgos,guarantor_subspecialties,guarantor_id,guarantor_subspecialties_guarantor_id_foreign,simgos,guarantors,id
simgos,guarantor_ward_accesses,guarantor_id,guarantor_ward_accesses_guarantor_id_foreign,simgos,guarantors,id
simgos,guarantor_ward_accesses,ward_id,guarantor_ward_accesses_ward_id_foreign,simgos,wards,id
simgos,guarantors,registration_id,guarantors_registration_id_foreign,simgos,registrations,id
simgos,guarantors,room_class_id,guarantors_room_class_id_foreign,simgos,room_classes,id
simgos,gynecology_histories,visit_id,gynecology_histories_visit_id_foreign,simgos,visits,id
simgos,gynecology_ultrasounds,doctor_id,gynecology_ultrasounds_doctor_id_foreign,simgos,doctors,id
simgos,gynecology_ultrasounds,patient_id,gynecology_ultrasounds_patient_id_foreign,simgos,patients,id
simgos,gynecology_ultrasounds,visit_id,gynecology_ultrasounds_visit_id_foreign,simgos,visits,id
simgos,health_certificates,doctor_id,health_certificates_doctor_id_foreign,simgos,doctors,id
simgos,health_certificates,patient_id,health_certificates_patient_id_foreign,simgos,patients,id
simgos,health_certificates,visit_id,health_certificates_visit_id_foreign,simgos,visits,id
simgos,hemodialysis_letters,doctor_id,hemodialysis_letters_doctor_id_foreign,simgos,doctors,id
simgos,hemodialysis_letters,patient_id,hemodialysis_letters_patient_id_foreign,simgos,patients,id
simgos,hemodialysis_letters,visit_id,hemodialysis_letters_visit_id_foreign,simgos,visits,id
simgos,hospitalization_certificates,doctor_id,hospitalization_certificates_doctor_id_foreign,simgos,doctors,id
simgos,hospitalization_certificates,patient_id,hospitalization_certificates_patient_id_foreign,simgos,patients,id
simgos,hospitalization_certificates,visit_id,hospitalization_certificates_visit_id_foreign,simgos,visits,id
simgos,humpty_dumpty_fall_scale_assessments,assessed_by,humpty_dumpty_fall_scale_assessments_assessed_by_foreign,simgos,employees,id
simgos,humpty_dumpty_fall_scale_assessments,visit_id,humpty_dumpty_fall_scale_assessments_visit_id_foreign,simgos,visits,id
simgos,illness_progression_histories,visit_id,illness_progression_histories_visit_id_foreign,simgos,visits,id
simgos,image_marker_points,image_marker_id,image_marker_points_image_marker_id_foreign,simgos,image_markers,id
simgos,immunization_vaccinations,administered_by,immunization_vaccinations_administered_by_foreign,simgos,employees,id
simgos,immunization_vaccinations,patient_id,immunization_vaccinations_patient_id_foreign,simgos,patients,id
simgos,immunization_vaccinations,visit_id,immunization_vaccinations_visit_id_foreign,simgos,visits,id
simgos,implementation_notes,recorded_by,implementation_notes_recorded_by_foreign,simgos,employees,id
simgos,implementation_notes,visit_id,implementation_notes_visit_id_foreign,simgos,visits,id
simgos,implementations,performed_by,implementations_performed_by_foreign,simgos,employees,id
simgos,implementations,visit_id,implementations_visit_id_foreign,simgos,visits,id
simgos,indonesia_cities,province_code,indonesia_cities_province_code_foreign,simgos,indonesia_provinces,code
simgos,indonesia_districts,city_code,indonesia_districts_city_code_foreign,simgos,indonesia_cities,code
simgos,indonesia_villages,district_code,indonesia_villages_district_code_foreign,simgos,indonesia_districts,code
simgos,inpatient_care_plans,planned_by,inpatient_care_plans_planned_by_foreign,simgos,employees,id
simgos,inpatient_care_plans,visit_id,inpatient_care_plans_visit_id_foreign,simgos,visits,id
simgos,institution_audits,institution_id,institution_audits_institution_id_foreign,simgos,institutions,id
simgos,institution_audits,user_id,institution_audits_user_id_foreign,simgos,users,id
simgos,intervention_protocol_details,performed_by,intervention_protocol_details_performed_by_foreign,simgos,employees,id
simgos,intervention_protocol_details,protocol_id,intervention_protocol_details_protocol_id_foreign,simgos,intervention_protocols,id
simgos,intervention_protocols,started_by,intervention_protocols_started_by_foreign,simgos,employees,id
simgos,intervention_protocols,visit_id,intervention_protocols_visit_id_foreign,simgos,visits,id
simgos,intervention_recommendations,recommended_by,intervention_recommendations_recommended_by_foreign,simgos,employees,id
simgos,intervention_recommendations,visit_id,intervention_recommendations_visit_id_foreign,simgos,visits,id
simgos,invoice_cancellations,invoice_id,invoice_cancellations_invoice_id_foreign,simgos,invoices,id
simgos,invoice_guarantors,guarantor_id,invoice_guarantors_guarantor_id_foreign,simgos,guarantors,id
simgos,invoice_guarantors,invoice_id,invoice_guarantors_invoice_id_foreign,simgos,invoices,id
simgos,invoice_items,invoice_id,invoice_items_invoice_id_foreign,simgos,invoices,id
simgos,invoice_items,service_id,invoice_items_service_id_foreign,simgos,services,id
simgos,invoice_merges,invoice_id,invoice_merges_invoice_id_foreign,simgos,invoices,id
simgos,invoice_merges,payment_id,invoice_merges_payment_id_foreign,simgos,payments,id
simgos,invoice_subsidies,invoice_id,invoice_subsidies_invoice_id_foreign,simgos,invoices,id
simgos,invoices,cashier_session_id,invoices_cashier_session_id_foreign,simgos,cashier_sessions,id
simgos,invoices,visit_id,invoices_visit_id_foreign,simgos,visits,id
simgos,item_prices,item_id,item_prices_item_id_foreign,simgos,items,id
simgos,item_serial_numbers,ward_item_stock_id,item_serial_numbers_ward_item_stock_id_foreign,simgos,ward_item_stocks,id
simgos,killip_class_assessments,assessed_by,killip_class_assessments_assessed_by_foreign,simgos,employees,id
simgos,killip_class_assessments,visit_id,killip_class_assessments_visit_id_foreign,simgos,visits,id
simgos,klaim_submissions,satu_sehat_staging_submission_id,klaim_submissions_satu_sehat_staging_submission_id_foreign,simgos,satu_sehat_staging_submissions,id
simgos,kunjungans,pendaftaran_id,kunjungans_pendaftaran_id_foreign,simgos,pendaftarans,id
simgos,lab_culture_results,lab_order_id,lab_culture_results_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_examination_results,lab_order_id,lab_examination_results_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_microscopic_result_items,lab_microscopic_result_id,lab_microscopic_result_items_lab_microscopic_result_id_foreign,simgos,lab_microscopic_results,id
simgos,lab_microscopic_results,examined_by,lab_microscopic_results_examined_by_foreign,simgos,employees,id
simgos,lab_microscopic_results,lab_order_id,lab_microscopic_results_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_order_items,item_id,lab_order_items_item_id_foreign,simgos,items,id
simgos,lab_order_items,lab_order_id,lab_order_items_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_orders,ordered_by,lab_orders_ordered_by_foreign,simgos,employees,id
simgos,lab_orders,visit_id,lab_orders_visit_id_foreign,simgos,visits,id
simgos,lab_pcr_results,lab_order_id,lab_pcr_results_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_reference_values,lab_service_parameter_id,lab_reference_values_lab_service_parameter_id_foreign,simgos,lab_service_parameters,id
simgos,lab_result_notes,lab_result_id,lab_result_notes_lab_result_id_foreign,simgos,lab_results,id
simgos,lab_result_summaries,summarized_by,lab_result_summaries_summarized_by_foreign,simgos,employees,id
simgos,lab_result_summaries,visit_id,lab_result_summaries_visit_id_foreign,simgos,visits,id
simgos,lab_result_summary_items,summary_id,lab_result_summary_items_summary_id_foreign,simgos,lab_result_summaries,id
simgos,lab_results,lab_order_id,lab_results_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_sensitivity_results,lab_order_id,lab_sensitivity_results_lab_order_id_foreign,simgos,lab_orders,id
simgos,lab_service_parameters,lab_service_group_id,lab_service_parameters_lab_service_group_id_foreign,simgos,lab_service_groups,id
simgos,laboratory_rooms,ward_id,laboratory_rooms_ward_id_foreign,simgos,wards,id
simgos,leftover_medication_voucher_items,leftover_medication_voucher_id,fk_lmvi_voucher_id,simgos,leftover_medication_vouchers,id
simgos,leftover_medication_voucher_items,item_id,leftover_medication_voucher_items_item_id_foreign,simgos,items,id
simgos,leftover_medication_vouchers,patient_id,leftover_medication_vouchers_patient_id_foreign,simgos,patients,id
simgos,leftover_medication_vouchers,prescription_id,leftover_medication_vouchers_prescription_id_foreign,simgos,prescriptions,id
simgos,leftover_medication_vouchers,visit_id,leftover_medication_vouchers_visit_id_foreign,simgos,visits,id
simgos,maternal_pregnancy_histories,visit_id,maternal_pregnancy_histories_visit_id_foreign,simgos,visits,id
simgos,mcus,kunjungan_id,mcus_kunjungan_id_foreign,simgos,kunjungans,id
simgos,medical_checkup_results,examined_by,medical_checkup_results_examined_by_foreign,simgos,employees,id
simgos,medical_checkup_results,patient_id,medical_checkup_results_patient_id_foreign,simgos,patients,id
simgos,medical_checkup_results,visit_id,medical_checkup_results_visit_id_foreign,simgos,visits,id
simgos,medical_department_ward_assignments,medical_department_id,fk_mdwa_dept_id,simgos,medical_departments,id
simgos,medical_department_ward_assignments,ward_id,medical_department_ward_assignments_ward_id_foreign,simgos,wards,id
